id,"replace(replace(replace(campaign.name, char(10), ''), char(13), ''), ',', '')",does the link work,gallery,has a video,does the video work (1/0),direct link,youtube/other (1/0),link,finance,etat,ville,raised_amount,goal_amount,percent,time_left_qty,end_year
48265,Flowers for Automaton - Our Debut EP,1,NULL,1,1,https://youtu.be/8M2SMA2g-iI,1,https://www.indiegogo.com/projects/flowers-for-automaton-our-debut-ep,Flexible Funding, West Virginia,New Cumberland,5,2000,0,0,2015
4648,ALL I NEED,1,3,1,0,NA,NA,https://www.indiegogo.com/projects/all-i-need,Flexible Funding, New York,New York,10101,10000,101,0,2014
118399,Ready the Messenger - EP Fundraiser,1,1,1,1,https://youtu.be/CTODbFJ8vCw,1,https://www.indiegogo.com/projects/ready-the-messenger-ep-fundraiser,Flexible Funding, Texas,Austin,1660,5000,33,0,2013
146892,Confessions of a Lioness,1,1,1,0,NA,NA,https://www.indiegogo.com/projects/confessions-of-a-lioness,Flexible Funding, Georgia,Augusta,35,2300,2,0,2014
59750,The God Complex - Ash Of Eden,1,3,1,1,https://youtu.be/_3CusoHrgpc,1,https://www.indiegogo.com/projects/the-god-complex-ash-of-eden,Fixed Funding, Alabama,Muscle Shoals,0,3000,0,0,2014
116961,WHO WILL GO? Album & Music for Outreach,1,32,1,1,https://youtu.be/l6JqjFdDkgg,1,https://www.indiegogo.com/projects/who-will-go-album-music-for-outreach,Flexible Funding, Florida,West Palm Beach,109,4559,2,0,2013
18948,Sebastopol Rising Music Festival,1,NULL,1,1,https://youtu.be/TOM4UaYuGhg,1,https://www.indiegogo.com/projects/sebastopol-rising-music-festival,Fixed Funding, California,Sebastopol,950,8000,12,0,2014
162193,Billy's 20th JazzFest,1,6,1,1,https://youtu.be/-VaABwnadKo,1,https://www.indiegogo.com/projects/billy-s-20th-jazzfest,Flexible Funding, Maryland,Germantown,2295,3000,77,0,2014
266904,Pre-order John King's album for Mexico,1,2,1,0,NA,NA,https://www.indiegogo.com/projects/pre-order-john-king-s-album-for-mexico,Flexible Funding, Ohio,Canton,2080,2000,104,0,2012
123478,Luciano Ferrara-Acoustic Full Length Album,1,NULL,1,1,https://youtu.be/Kw76QTXhXYc,1,https://www.indiegogo.com/projects/luciano-ferrara-acoustic-full-length-album,Flexible Funding, New York,Poughkeepsie,50,3000,2,0,2013
11943,Help Make Isle of Rhodes' Next Album!,1,NULL,1,1,https://youtu.be/S3CcQGGHu_k,1,https://www.indiegogo.com/projects/help-make-isle-of-rhodes-next-album,Flexible Funding, New York,Brooklyn,10130,10000,101,0,2014
201886,Helcult: Fenrismaw's Full-Length Album,1,11,1,1,https://youtu.be/OdETPx6ff2c,1,https://www.indiegogo.com/projects/helcult-fenrismaw-s-full-length-album,Flexible Funding, New York,Poughkeepsie,2081,2000,104,0,2013
251130,J. Elliot & One Worship,1,3,1,1,http://vimeo.com/37868028,0,https://www.indiegogo.com/projects/j-elliot-one-worship,Flexible Funding, California,American Canyon,495,10500,5,0,2012
77659,American Lesion,1,3,1,0,NA,NA,https://www.indiegogo.com/projects/american-lesion,Flexible Funding, Georgia,Macon,15,5000,0,0,2014
127425,This is going to rock.,1,1,1,0,NA,NA,https://www.indiegogo.com/projects/this-is-going-to-rock,Flexible Funding, West Virginia,Princeton,0,4000,0,0,2013
94730,The U-Rock Network Operating Fund Campaign,1,19,1,1,https://youtu.be/Pc0jGaxjVmE,1,https://www.indiegogo.com/projects/the-u-rock-network-operating-fund-campaign,Flexible Funding, Pennsylvania,Linwood,575,3500,16,0,2015
138002,Donna Brown and The Golden Gospel Pearls' next album,1,NULL,1,1,https://youtu.be/QxWEq2cx6ZM,1,https://www.indiegogo.com/projects/donna-brown-and-the-golden-gospel-pearls-next-album,Flexible Funding, Florida,Jacksonville,100,18000,1,0,2014
136955,Motionfix's Motion Pictures & Neon Dreams,1,13,1,1,https://youtu.be/fdiphguCdYs,1,https://www.indiegogo.com/projects/motionfix-s-motion-pictures-neon-dreams,Flexible Funding, Washington,seattle,135,5000,3,0,2014
203130,Seeker & Servant - First Full Length Album,1,NULL,1,1,https://youtu.be/CGHtso7ThBg,1,https://www.indiegogo.com/projects/seeker-servant-first-full-length-album,Flexible Funding, Mississippi,Jackson,2160,6000,36,0,2013
76715,OLD TABLE: SAVE THE ENVIRONMENT,1,10,1,1,https://youtu.be/IOkT_vLIZk4,1,https://www.indiegogo.com/projects/old-table-save-the-environment,Flexible Funding, New York,Tuckahoe,2244,2000,112,0,2014
87479,Concerts for Humanitarian Efforts & All Habitats,1,NULL,1,1,https://youtu.be/BR9TWPXqcm8,1,https://www.indiegogo.com/projects/concerts-for-humanitarian-efforts-all-habitats,Flexible Funding, California,San Jose,0,200000,0,0,2015
259805,Eric Hofbauer solo guitar recording: American Grace,1,6,1,0,NA,NA,https://www.indiegogo.com/projects/eric-hofbauer-solo-guitar-recording-american-grace,Flexible Funding, Massachusetts,Boston,3850,3600,107,0,2012
249586,Sentimental Journey,1,NULL,1,0,NA,NA,https://www.indiegogo.com/projects/sentimental-journey,Flexible Funding, Texas,Tyler,770,2000,39,0,2012
244794,The Cosmic Slop Festival Doc & Urban School of Rock!,1,2,1,1,https://youtu.be/ZKE3mjI7dQQ,1,https://www.indiegogo.com/projects/the-cosmic-slop-festival-doc-urban-school-of-rock,Flexible Funding, Michigan,Detroit,55,3500,2,0,2011
159076,AYIN ALEPH TOUR IN RUSSIA,1,6,1,1,https://youtu.be/J45JMYFQzv4,1,https://www.indiegogo.com/projects/ayin-aleph-tour-in-russia,Flexible Funding, California,Los Angeles,2846,33000,9,0,2014
207224,Victory is Near - Help Irene Muller Finish Her First Album!,1,4,1,1,https://youtu.be/PHD6-evekA8,1,https://www.indiegogo.com/projects/victory-is-near-help-irene-muller-finish-her-first-album,Flexible Funding,NULL,Juneau,5137,5000,103,0,2013
116457,Caitlin Collins E.P,1,5,1,0,NA,NA,https://www.indiegogo.com/projects/caitlin-collins-e-p,Flexible Funding, California,Los Angeles,515,3000,17,0,2013
86874,Evelyn Preer A.K.A,1,NULL,1,1,https://youtu.be/SzCCn9rShJI,1,https://www.indiegogo.com/projects/evelyn-preer-a-k-a,Fixed Funding, California,Los Angeles,280,500,56,0,2015
84319,Help FEE LION in the making of NEEDS!,1,NULL,1,1,https://youtu.be/R6GqTketyyc,1,https://www.indiegogo.com/projects/help-fee-lion-in-the-making-of-needs,Flexible Funding, Illinois,Chicago,1760,3000,59,0,2014
191278,Hip Hop Renaissance movement!,1,4,1,0,NA,NA,https://www.indiegogo.com/projects/hip-hop-renaissance-movement,Flexible Funding, New York,New York,299,7000,4,0,2013
299905,Cameron Washington Album Campaign,1,2,1,1,https://youtu.be/BDKUyh_WRoc,1,https://www.indiegogo.com/projects/cameron-washington-album-campaign--2,Flexible Funding, Pennsylvania,Philadelphia,500,1000,50,0,2012
29054,Someone Still Loves You Boris Yeltsin -Music Video,1,NULL,1,1,http://vimeo.com/104052487,0,https://www.indiegogo.com/projects/someone-still-loves-you-boris-yeltsin-music-video,Flexible Funding, New York,New York,880,3000,29,0,2014
261176,Victoria Celine Tate - New Album,1,3,1,0,NA,NA,https://www.indiegogo.com/projects/victoria-celine-tate-new-album,Flexible Funding, Alabama,Huntsville,0,3300,0,0,2012
190615,Glastonbury Festival,1,1,1,1,https://youtu.be/OP3mlaD_TqI,1,https://www.indiegogo.com/projects/glastonbury-festival,Flexible Funding, California,Sebastopol,754,3000,25,0,2013
130130,Hopeful Loring 'Full Length',1,2,1,1,https://youtu.be/YBum1mtMhm4,1,https://www.indiegogo.com/projects/hopeful-loring-full-length,Flexible Funding, Colorado,Colorado Springs,155,3000,5,0,2014
145604,Send Geneseo to the GRAMMY's,1,1,1,1,https://youtu.be/WMrNWR4z8Dk,1,https://www.indiegogo.com/projects/send-geneseo-to-the-grammy-s,Flexible Funding, New York,Geneseo,4695,3000,157,0,2014
91983,Event Roadie in need of new moped to work,1,11,1,0,NA,NA,https://www.indiegogo.com/projects/event-roadie-in-need-of-new-moped-to-work,Flexible Funding, California,Los Angeles,0,1500,0,0,2015
12014,Nightosaur - Set Fire To The Mountain vinyl preorder,1,NULL,1,1,https://youtu.be/x4IEIsVE6uo,1,https://www.indiegogo.com/projects/nightosaur-set-fire-to-the-mountain-vinyl-preorder,Flexible Funding, Minnesota,Minneapolis,1465,2000,73,0,2014
117307,Creative Music Studio Archive Restoration Project,1,4,1,1,http://vimeo.com/74259056,0,https://www.indiegogo.com/projects/creative-music-studio-archive-restoration-project,Flexible Funding, New York,Woodstock,150,4000,4,0,2013
136595,Revolution 2014,1,NULL,1,1,https://youtu.be/SXvfVQxDg7g,1,https://www.indiegogo.com/projects/revolution-2014,Flexible Funding, Kentucky,Louisville,130,5000,3,0,2014
74301,New Album by 'basic',1,NULL,1,0,NA,NA,https://www.indiegogo.com/projects/new-album-by-basic,Fixed Funding, New York,Rochester,2690,6000,45,0,2014
322386,Ellis Clark's Upcoming Album Campaign,1,1,1,1,https://youtu.be/G3rPgzPd6zc,1,https://www.indiegogo.com/projects/ellis-clark-s-upcoming-album-campaign,Flexible Funding, Illinois,Chicago,1859,2500,74,0,2013
257178,Ben Bedford's New Album - 2012,1,1,1,1,http://vimeo.com/38343960,0,https://www.indiegogo.com/projects/ben-bedford-s-new-album-2012,Flexible Funding, Illinois,Springfield,11446,16500,69,0,2012
183219,Island Bay Day,1,9,1,1,https://youtu.be/-rBIakSO0SY,1,https://www.indiegogo.com/projects/island-bay-day,Flexible Funding, Maryland,Centreville,0,10000,0,0,2013
161342,Music for the people by the people,1,3,1,1,https://youtu.be/KZ428DmxLe0,1,https://www.indiegogo.com/projects/music-for-the-people-by-the-people,Flexible Funding, Florida,Pembroke Pines,1715,5000,34,0,2014
173365,Duilliath's Golden Horizons DEBUT EP,1,4,1,1,https://youtu.be/RgB7bfAM--o,1,https://www.indiegogo.com/projects/duilliath-s-golden-horizons-debut-ep,Flexible Funding, Indiana,Lafayette,445,1300,34,0,2013
273637,TRINA'S WORLD,1,3,1,1,https://youtu.be/-2n2OvkBWFM,1,https://www.indiegogo.com/projects/trina-s-world,Flexible Funding, Minnesota,MPLS,0,10000,0,0,2012
138792,Ekah Kim's New Album Fundraising!,1,NULL,1,1,https://youtu.be/TyULLg6Vins,1,https://www.indiegogo.com/projects/ekah-kim-s-new-album-fundraising,Flexible Funding, New York,New York,1325,1200,110,0,2014
232772,Feelin Randy,1,NULL,1,1,https://youtu.be/vuxte0uniAw,1,https://www.indiegogo.com/projects/feelin-randy,Flexible Funding,NULL,New Jersey,0,7500,0,0,2011
201947,Honey & Blue are making an album!!!!,1,1,1,1,https://youtu.be/JaF6G0fawq0,1,https://www.indiegogo.com/projects/honey-blue-are-making-an-album,Flexible Funding, California,Los Angeles,4165,10000,42,0,2013
115760,Platanos & Collardgreens!,1,NULL,1,1,https://youtu.be/WkNq2lofJ-U,1,https://www.indiegogo.com/projects/platanos-collardgreens,Flexible Funding, New York,Harlem,570,6000,10,0,2014
197331,Mighty Mountain DEBUT ALBUM,1,1,1,0,NA,NA,https://www.indiegogo.com/projects/mighty-mountain-debut-album,Flexible Funding, Texas,Austin,6381,6000,106,0,2013
212251,Mark Arroyo Trio CD Recording,1,NULL,1,0,NA,NA,https://www.indiegogo.com/projects/mark-arroyo-trio-cd-recording,Flexible Funding, California,San Jose,1210,500,242,0,2013
152859,Becoming an Electronic Music Producer,1,2,1,0,NA,NA,https://www.indiegogo.com/projects/becoming-an-electronic-music-producer,Flexible Funding, South Carolina,Campobello,0,10000,0,0,2014
